Species,FeedingType,Herbivory2,FoodTroph,old_name
Bregmaceros cantori,NA,NA,NA,Bregmaceros cantori
Bregmaceros houdei,NA,NA,NA,Bregmaceros houdei
Bregmaceros nectabanus,NA,NA,NA,Bregmaceros nectabanus
Antigonia combatia,NA,NA,NA,Antigonia combatia
Carapus bermudensis,NA,NA,NA,Carapus bermudensis
Echiodon dawsoni,NA,NA,NA,Echiodon dawsoni
Macroramphosus scolopax,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.47,Macroramphosus scolopax
Chauliodus danae,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.01,Chauliodus danae
Chaunax suttkusi,NA,NA,NA,Chaunax suttkusi
Cyprinodon variegatus,NA,NA,NA,Cyprinodon variegatus variegatus
Floridichthys carpio,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.29,Floridichthys carpio
Dactyloscopus moorei,NA,NA,NA,Dactyloscopus moorei
Dactyloscopus tridigitatus,NA,NA,NA,Dactyloscopus tridigitatus
Gillellus healae,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4,Gillellus healae
Eleotris amblyopsis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.3399999141693115,Eleotris amblyopsis
Erotelis smaragdus,NA,NA,NA,Erotelis smaragdus
Epigonus robustus,NA,NA,NA,Epigonus macrops
Epigonus macrops,NA,NA,NA,Epigonus macrops
Epigonus pandionis,NA,NA,NA,Epigonus pandionis
Epigonus pectinifer,NA,NA,NA,Epigonus pectinifer
Fundulus grandis,NA,mainly animals (troph. 2.8 and up),3.42,Fundulus grandis
Fundulus xenicus,NA,NA,NA,Adinia xenica
Fundulus confluentus,NA,NA,NA,Fundulus confluentus
Fundulus jenkinsi,NA,NA,NA,Fundulus jenkinsi
Fundulus majalis,NA,NA,NA,Fundulus majalis
Fundulus pulvereus,NA,NA,NA,Fundulus pulvereus
Lucania parva,selective plankton feeding,mainly animals (troph. 2.8 and up),NA,Lucania parva
Gobiesox strumosus,NA,NA,NA,Gobiesox strumosus
Evermannichthys spongicola,NA,NA,NA,Evermannichthys spongicola
Lipogramma trilineata,NA,NA,NA,Lipogramma trilineata
Xenolepidichthys dalgleishi,NA,NA,NA,Xenolepidichthys dalgleishi
Haemulon chrysargyreum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.49,Haemulon chrysargyreum
Ostichthys trachypoma,NA,NA,NA,Ostichthys trachypoma
Plectrypops retrospinis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.27,Plectrypops retrospinis
Sargocentron bullisi,NA,NA,NA,Sargocentron bullisi
Sargocentron coruscum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.53,Sargocentron coruscum
Sargocentron poco,NA,NA,NA,Sargocentron poco
Sargocentron vexillarium,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.63,Sargocentron vexillarium
Paraliparis calidus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.49,Paraliparis calidus
Hymenocephalus aterrimus,NA,NA,NA,Hymenocephalus aterrimus
Hymenocephalus billsam,NA,NA,NA,Hymenocephalus billsam
Hymenocephalus italicus,variable,mainly animals (troph. 2.8 and up),3.4,Hymenocephalus italicus
Aristostomias grimaldii,NA,mainly animals (troph. 2.8 and up),4.2,Aristostomias grimaldii
Aristostomias grimaldii,NA,mainly animals (troph. 2.8 and up),4.2,Aristostomias grimaldii
Aristostomias polydactylus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.25,Aristostomias polydactylus
Aristostomias tittmanni,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Aristostomias tittmanni
Aristostomias xenostoma,NA,mainly animals (troph. 2.8 and up),3.81,Aristostomias xenostoma
Photostomias guernei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.49,Photostomias guernei
Melamphaes eulepis,NA,NA,NA,Melamphaes eulepis
Melamphaes pumilus,NA,NA,NA,Melamphaes pumilus
Melamphaes simus,NA,mainly animals (troph. 2.8 and up),3,Melamphaes simus
Melamphaes typhlops,NA,NA,NA,Melamphaes typhlops
Poromitra capito,NA,NA,NA,Poromitra capito
Poromitra crassiceps,selective plankton feeding,mainly animals (troph. 2.8 and up),3.1,Poromitra crassiceps
Poromitra megalops,NA,NA,NA,Poromitra megalops
Bathophilus digitatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Bathophilus digitatus
Bathophilus longipinnis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Bathophilus longipinnis
Bathophilus nigerrimus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Bathophilus nigerrimus
Bathophilus pawneei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Bathophilus pawneei
Eustomias brevibarbatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Eustomias brevibarbatus
Eustomias macrophthalmus,NA,NA,NA,Eustomias macrophthalmus
Eustomias schmidti,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Eustomias schmidti
Leptostomias bilobatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Leptostomias bilobatus
Microdesmus lanceolatus,NA,NA,NA,Microdesmus lanceolatus
Xenophthalmichthys danae,NA,NA,NA,Xenophthalmichthys danae
Benthosema suborbitale,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Benthosema suborbitale
Bolinichthys photothorax,NA,NA,3,Bolinichthys photothorax
Bolinichthys supralateralis,NA,NA,NA,Bolinichthys supralateralis
Centrobranchus nigroocellatus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Centrobranchus nigroocellatus
Ceratoscopelus warmingii,selective plankton feeding,mainly animals (troph. 2.8 and up),3.42,Ceratoscopelus warmingii
Diaphus dumerilii,NA,NA,3,Diaphus dumerilii
Diaphus fragilis,selective plankton feeding,mainly animals (troph. 2.8 and up),3.07,Diaphus fragilis
Diaphus garmani,NA,NA,NA,Diaphus garmani
Diaphus lucidus,NA,NA,3,Diaphus lucidus
Diaphus luetkeni,NA,mainly animals (troph. 2.8 and up),3.78,Diaphus luetkeni
Diaphus mollis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3,Diaphus mollis
Diaphus perspicillatus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.12,Diaphus perspicillatus
Diaphus problematicus,NA,NA,3,Diaphus problematicus
Diaphus rafinesquii,NA,mainly animals (troph. 2.8 and up),3.4,Diaphus rafinesquii
Diaphus splendidus,NA,NA,3,Diaphus splendidus
Diaphus subtilis,NA,NA,NA,Diaphus subtilis
Diaphus taaningi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.1,Diaphus taaningi
Diaphus termophilus,NA,NA,NA,Diaphus termophilus
Diogenichthys atlanticus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.11,Diogenichthys atlanticus
Gonichthys cocco,NA,mainly animals (troph. 2.8 and up),3.21,Gonichthys cocco
Hygophum hygomii,NA,NA,3,Hygophum hygomii
Hygophum macrochir,NA,NA,NA,Hygophum macrochir
Hygophum reinhardtii,selective plankton feeding,mainly animals (troph. 2.8 and up),3.21,Hygophum reinhardtii
Lampadena luminosa,NA,NA,NA,Lampadena luminosa
Lampanyctus alatus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.22,Lampanyctus alatus
Lampanyctus nobilis,selective plankton feeding,mainly animals (troph. 2.8 and up),3.12,Lampanyctus nobilis
Lampanyctus tenuiformis,NA,NA,NA,Lampanyctus tenuiformis
Lepidophanes guentheri,selective plankton feeding,mainly animals (troph. 2.8 and up),3,Lepidophanes guentheri
Lobianchia gemellarii,NA,mainly animals (troph. 2.8 and up),3,Lobianchia gemellarii
Myctophum affine,selective plankton feeding,mainly animals (troph. 2.8 and up),3,Myctophum affine
Myctophum asperum,selective plankton feeding,mainly animals (troph. 2.8 and up),3.68,Myctophum asperum
Myctophum nitidulum,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Myctophum nitidulum
Myctophum obtusirostre,NA,NA,NA,Myctophum obtusirostre
Nannobrachium atrum,NA,NA,NA,Nannobrachium atrum
Nannobrachium cuprarium,variable,mainly animals (troph. 2.8 and up),3.259999990463257,Nannobrachium cuprarium
Nannobrachium lineatum,selective plankton feeding,mainly animals (troph. 2.8 and up),3,Nannobrachium lineatum
Notolychnus valdiviae,selective plankton feeding,mainly animals (troph. 2.8 and up),3.07,Notolychnus valdiviae
Notoscopelus caudispinosus,NA,NA,NA,Notoscopelus caudispinosus
Notoscopelus resplendens,selective plankton feeding,mainly animals (troph. 2.8 and up),3,Notoscopelus resplendens
Taaningichthys bathyphilus,NA,NA,NA,Taaningichthys bathyphilus
Nettenchelys pygmaea,NA,NA,NA,Nettenchelys pygmaea
Dibranchus tremendus,NA,NA,NA,Dibranchus tremendus
Halieutichthys aculeatus,NA,NA,NA,Halieutichthys aculeatus
Ogcocephalus corniger,NA,NA,NA,Ogcocephalus corniger
Ogcocephalus declivirostris,NA,NA,NA,Ogcocephalus declivirostris
Zalieutes mcgintyi,NA,NA,NA,Zalieutes mcgintyi
Ophidion antipholus,NA,NA,NA,Ophidion antipholus
Ophidion dromio,NA,NA,NA,Ophidion dromio
Otophidium omostigma,NA,NA,NA,Otophidium omostigma
Lonchopisthus micrognathus,NA,NA,NA,Lonchopisthus micrognathus
Opistognathus lonchurus,NA,NA,NA,Opistognathus lonchurus
Opistognathus macrognathus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.23,Opistognathus macrognathus
Opistognathus nothus,NA,NA,NA,Opistognathus nothus
Stemonosudis bullisi,NA,NA,NA,Stemonosudis bullisi
Stemonosudis gracilis,NA,NA,NA,Stemonosudis gracilis
Stemonosudis intermedia,NA,NA,NA,Stemonosudis intermedia
Mentodus facilis,NA,NA,NA,Mentodus facilis
Platytroctes apus,NA,NA,NA,Platytroctes apus
Kryptolebias marmoratus,NA,mainly animals (troph. 2.8 and up),3.19,Kryptolebias marmoratus
Phenacoscorpius nebris,NA,NA,NA,Phenacoscorpius nebris
Scorpaena agassizii,NA,NA,NA,Scorpaena agassizii
Scorpaena bergii,NA,NA,NA,Scorpaena bergii
Scorpaena calcarata,NA,NA,NA,Scorpaena calcarata
Scorpaena dispar,NA,NA,NA,Scorpaena dispar
Scorpaena inermis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.91,Scorpaena inermis
Scorpaena isthmensis,NA,NA,NA,Scorpaena isthmensis
Aristostomias lunifer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Aristostomias lunifer
Astronesthes indicus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.51,Astronesthes indicus
Astronesthes micropogon,variable,mainly animals (troph. 2.8 and up),3.71,Astronesthes micropogon
Astronesthes niger,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.78,Astronesthes niger
Eustomias achirus,NA,NA,NA,Eustomias achirus
Eustomias acinosus,NA,mainly animals (troph. 2.8 and up),4.2,Eustomias acinosus
Eustomias bibulbosus,NA,mainly animals (troph. 2.8 and up),4.2,Eustomias bibulbosus
Eustomias bigelowi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Eustomias bigelowi
Eustomias binghami,NA,NA,NA,Eustomias binghami
Eustomias braueri,NA,NA,NA,Eustomias braueri
Eustomias dendriticus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Eustomias dendriticus
Eustomias fissibarbis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Eustomias fissibarbis
Eustomias hypopsilus,NA,mainly animals (troph. 2.8 and up),4.2,Eustomias hypopsilus
Eustomias longibarba,NA,NA,NA,Eustomias longibarba
Eustomias monoclonus,NA,NA,NA,Eustomias monoclonus
Eustomias polyaster,NA,NA,NA,Eustomias polyaster
Eustomias variabilis,NA,NA,NA,Eustomias variabilis
Grammatostomias circularis,NA,NA,NA,Grammatostomias circularis
Leptostomias leptobolus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Leptostomias leptobolus
Melanostomias margaritifer,NA,NA,NA,Melanostomias margaritifer
Melanostomias melanopogon,NA,NA,NA,Melanostomias melanopogon
Neonesthes capensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4,Neonesthes capensis
Photonectes achirus,NA,NA,NA,Photonectes achirus
Photonectes leucospilus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Photonectes leucospilus
Photonectes phyllopogon,NA,NA,NA,Photonectes phyllopogon
Stomias affinis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.28,Stomias affinis
Stomias brevibarbatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.94,Stomias brevibarbatus
Symphysanodon berryi,NA,NA,NA,Symphysanodon berryi
Canthigaster jamestyleri,NA,NA,NA,Canthigaster jamestyleri
Canthigaster rostrata,variable,plants/detritus+animals (troph. 2.2-2.79),2.77,Canthigaster rostrata
Sphoeroides dorsalis,NA,NA,NA,Sphoeroides dorsalis
Sphoeroides parvus,NA,NA,NA,Sphoeroides parvus
Bellator brachychir,NA,NA,NA,Bellator brachychir
Bellator egretta,NA,NA,NA,Bellator egretta
Bellator militaris,NA,NA,NA,Bellator militaris
Prionotus alatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Prionotus alatus
Prionotus martis,NA,NA,NA,Prionotus martis
Prionotus paralatus,NA,NA,NA,Prionotus paralatus
Prionotus roseus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Prionotus roseus
Prionotus stearnsi,NA,NA,NA,Prionotus stearnsi
Lycenchelys bullisi,NA,NA,NA,Lycenchelys bullisi
Thunnus albacares,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.48,Thunnus albacares
Thunnus thynnus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.21,Thunnus thynnus
Euthynnus alletteratus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.98,Euthynnus alletteratus
Auxis rochei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.4,Auxis rochei
Auxis thazard,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.360000133514403,Auxis thazard
Xiphias gladius,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Xiphias gladius
Kajikia albida,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.460000038146973,Tetrapturus albidus
Makaira nigricans,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.389999866485597,Makaira nigricans
Istiophorus platypterus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Istiophorus platypterus
Istiophorus albicans,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.420000076293945,Istiophorus albicans
Tetrapturus pfluegeri,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Tetrapturus pfluegeri
Seriola dumerili,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.06,Seriola dumerili
Carangoides bartholomaei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Caranx bartholomaei
Caranx ruber,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.81,Caranx ruber
Alectis ciliaris,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.46,Alectis ciliaris
Carangoides bartholomaei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Carangoides bartholomaei
Caranx crysos,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.63,Caranx crysos
Caranx hippos,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.83,Caranx hippos
Caranx latus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.88,Caranx latus
Caranx lugubris,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4,Caranx lugubris
Chloroscombrus chrysurus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.53,Chloroscombrus chrysurus
Decapterus macarellus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.24,Decapterus macarellus
Decapterus punctatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.26,Decapterus punctatus
Elagatis bipinnulata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.59,Elagatis bipinnulata
Hemicaranx amblyrhynchus,NA,NA,NA,Hemicaranx amblyrhynchus
Naucrates ductor,NA,mainly animals (troph. 2.8 and up),3.41,Naucrates ductor
Oligoplites saurus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.53,Oligoplites saurus
Selar crumenophthalmus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.57,Selar crumenophthalmus
Selene setapinnis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.72,Selene setapinnis
Selene vomer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.67,Selene vomer
Seriola fasciata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Seriola fasciata
Seriola rivoliana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Seriola rivoliana
Seriola zonata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Seriola zonata
Trachurus lathami,variable,mainly animals (troph. 2.8 and up),3.27,Trachurus lathami
Scomberomorus cavalla,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.43,Scomberomorus cavalla
Diplospinus multistriatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.51,Diplospinus multistriatus
Gempylus serpens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.35,Gempylus serpens
Lepidocybium flavobrunneum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.34,Lepidocybium flavobrunneum
Nealotus tripes,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Nealotus tripes
Neoepinnula americana,NA,NA,NA,Neoepinnula americana
Neoepinnula orientalis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.19,Neoepinnula orientalis
Nesiarchus nasutus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.33,Nesiarchus nasutus
Promethichthys prometheus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.18,Promethichthys prometheus
Ruvettus pretiosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.18,Ruvettus pretiosus
Scomberomorus maculatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.35,Scomberomorus maculatus
Sardinella aurita,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),3.04,Sardinella aurita
Alepisaurus ferox,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.39,Alepisaurus ferox
Coryphaena equiselis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Coryphaena equiselis
Coryphaena hippurus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Coryphaena hippurus
Remora albescens,NA,NA,NA,Remora albescens
Echeneis naucrates,picking parasites off a host (cleaner),mainly animals (troph. 2.8 and up),3.4,Echeneis naucrates
Echeneis neucratoides,NA,NA,NA,Echeneis neucratoides
Phtheirichthys lineatus,NA,NA,NA,Phtheirichthys lineatus
Remora australis,NA,NA,NA,Remora australis
Remora brachyptera,NA,NA,NA,Remora brachyptera
Remora osteochir,NA,mainly animals (troph. 2.8 and up),3.5,Remora osteochir
Remora remora,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3,Remora remora
Remora albescens,NA,NA,NA,Remorina albescens
Cheilopogon exsiliens,NA,mainly animals (troph. 2.8 and up),3.03,Cheilopogon exsiliens
Lampris guttatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.22,Lampris guttatus
Luvarus imperialis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.79,Luvarus imperialis
Masturus lanceolatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.61,Masturus lanceolatus
Mola mola,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.28,Mola mola
Gadella imberbis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.03,Gadella imberbis
Pomatomus saltatrix,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.08,Pomatomus saltatrix
Acanthocybium solandri,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.420000076293945,Acanthocybium solandri
Auxis rochei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.4,Auxis rochei rochei
Auxis thazard,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.360000133514403,Auxis thazard thazard
Katsuwonus pelamis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.03,Katsuwonus pelamis
Sarda sarda,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.34,Sarda sarda
Scomberomorus regalis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.38,Scomberomorus regalis
Thunnus atlanticus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.799999952316284,Thunnus atlanticus
Thunnus obesus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.48,Thunnus obesus
Sphyraena barracuda,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Sphyraena barracuda
Sphyraena borealis,NA,NA,NA,Sphyraena borealis
Sphyraena guachancho,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.38,Sphyraena guachancho
Peprilus burti,NA,mainly animals (troph. 2.8 and up),4,Peprilus burti
Peprilus paru,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.87,Peprilus paru
Peprilus triacanthus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.68,Peprilus triacanthus
Bathytroctes macrolepis,NA,NA,NA,Bathytroctes macrolepis
Anoplogaster brachycera,NA,NA,NA,Anoplogaster brachycera
Anoplogaster cornuta,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.01,Anoplogaster cornuta
Aphyonus gelatinosus,NA,NA,NA,Aphyonus gelatinosus
Barathronus bicolor,NA,NA,NA,Barathronus bicolor
Bathyclupea argentea,NA,NA,NA,Bathyclupea argentea
Bathygadus favosus,NA,NA,NA,Bathygadus favosus
Bathygadus melanobranchus,variable,mainly animals (troph. 2.8 and up),3.3,Bathygadus melanobranchus
Bathylagichthys greyae,filtering plankton,mainly animals (troph. 2.8 and up),3.4,Bathylagichthys greyae
Bathysaurus mollis,NA,mainly animals (troph. 2.8 and up),4.5,Bathysaurus mollis
Foetorepus agassizii,NA,NA,NA,Foetorepus agassizii
Cryptopsaras couesii,NA,mainly animals (troph. 2.8 and up),4.5,Cryptopsaras couesii
Cetomimus teevani,NA,NA,NA,Cetomimus teevani
Ditropichthys storeri,NA,NA,NA,Ditropichthys storeri
Gyrinomimus myersi,NA,NA,NA,Gyrinomimus myersi
Chiasmodon niger,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Chiasmodon niger
Kali macrodon,NA,NA,NA,Kali macrodon
Pseudoscopelus altipinnis,NA,NA,NA,Pseudoscopelus altipinnis
Pseudoscopelus scriptus,NA,NA,NA,Pseudoscopelus scriptus
Chlorophthalmus agassizi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.17,Chlorophthalmus agassizi
Parasudis truculenta,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Parasudis truculenta
Bufoceratias wedli,NA,NA,NA,Bufoceratias wedli
Diretmichthys parini,variable,mainly animals (troph. 2.8 and up),3.45,Diretmichthys parini
Diretmoides pauciradiatus,NA,NA,NA,Diretmoides pauciradiatus
Diretmus argenteus,NA,NA,3.4,Diretmus argenteus
Coccorella atlantica,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.35,Coccorella atlantica
Evermannella indica,NA,NA,NA,Evermannella indica
Odontostomops normalops,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.32,Odontostomops normalops
Gibberichthys pumilus,NA,mainly animals (troph. 2.8 and up),3.14,Gibberichthys pumilus
Gigantura chuni,NA,mainly animals (troph. 2.8 and up),4.2,Gigantura chuni
Gigantura indica,NA,NA,NA,Gigantura indica
Bonapartia pedaliota,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Bonapartia pedaliota
Aldrovandia affinis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.3,Aldrovandia affinis
Aldrovandia gracilis,variable,mainly animals (troph. 2.8 and up),3.32,Aldrovandia gracilis
Halosaurus guentheri,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.39,Halosaurus guentheri
Halosaurus ovenii,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.51,Halosaurus ovenii
Himantolophus cornifer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.96,Himantolophus cornifer
Himantolophus groenlandicus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.28,Himantolophus groenlandicus
Howella brodiei,NA,NA,NA,Howella brodiei
Bathypterois bigelowi,NA,NA,NA,Bathypterois bigelowi
