Species,FeedingType,Herbivory2,FoodTroph,old_name
Bathypterois grallator,selective plankton feeding,mainly animals (troph. 2.8 and up),3.1,Bathypterois grallator
Bathypterois phenax,filtering plankton,mainly animals (troph. 2.8 and up),3.4,Bathypterois phenax
Bathypterois quadrifilis,NA,NA,NA,Bathypterois quadrifilis
Bathypterois viridensis,NA,NA,NA,Bathypterois viridensis
Ipnops murrayi,NA,mainly animals (troph. 2.8 and up),3.11,Ipnops murrayi
Haplophryne mollis,NA,NA,NA,Haplophryne mollis
Linophryne brevibarbata,NA,NA,NA,Linophryne brevibarbata
Linophryne densiramus,NA,NA,NA,Linophryne densiramus
Coelorinchus caelorhincus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.56,Caelorinchus caelorhincus
Coelorinchus caribbaeus,NA,NA,NA,Coelorinchus caribbaeus
Coelorinchus caelorhincus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.56,Coelorinchus carminatus
Hymenocephalus billsam,NA,NA,NA,Hymenocephalus billsamorum
Nezumia cyrano,NA,NA,NA,Nezumia cyrano
Nezumia longebarbata,NA,NA,NA,Nezumia longebarbata
Nezumia suilla,NA,NA,NA,Nezumia suilla
Sphagemacrurus grenadae,NA,NA,NA,Sphagemacrurus grenadae
Scopelogadus mizolepis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.45,Scopelogadus mizolepis
Scopeloberyx opisthopterus,NA,NA,3,Scopeloberyx opisthopterus
Scopeloberyx robustus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.1,Scopeloberyx robustus
Scopelogadus beanii,selective plankton feeding,mainly animals (troph. 2.8 and up),3.31,Scopelogadus beanii
Melanocetus johnsonii,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.07,Melanocetus johnsonii
Melanocetus murrayi,NA,NA,NA,Melanocetus murrayi
Melanonus zugmayeri,NA,NA,NA,Melanonus zugmayeri
Microstoma microstoma,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Microstoma microstoma
Nansenia groenlandica,NA,NA,NA,Nansenia groenlandica
Venefica procera,NA,NA,NA,Venefica procera
Cubiceps pauciradiatus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.65,Cubiceps pauciradiatus
Nomeus gronovii,selective plankton feeding,mainly animals (troph. 2.8 and up),3.67,Nomeus gronovii
Psenes cyanophrys,selective plankton feeding,mainly animals (troph. 2.8 and up),3.42,Psenes cyanophrys
Polyacanthonotus africanus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.23,Polyacanthonotus africanus
Polyacanthonotus merretti,NA,NA,NA,Polyacanthonotus merretti
Ahliesaurus berryi,variable,mainly animals (troph. 2.8 and up),3,Ahliesaurus berryi
Omosudis lowii,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.29,Omosudis lowei
Dicrolene introniger,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.03,Dicrolene intronigra
Acanthonus armatus,NA,NA,NA,Acanthonus armatus
Bassozetus compressus,NA,NA,NA,Bassozetus compressus
Bassozetus robustus,NA,NA,NA,Bassozetus robustus
Bathyonus pectoralis,NA,NA,NA,Bathyonus pectoralis
Dolichopteroides binocularis,NA,NA,NA,Dolichopteryx binocularis
Dolichopteryx longipes,selective plankton feeding,mainly animals (troph. 2.8 and up),3,Dolichopteryx longipes
Lestidiops affinis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Lestidiops affinis
Lestidium atlanticum,NA,NA,NA,Lestidium atlanticum
Lestrolepis intermedia,NA,NA,NA,Lestrolepis intermedia
Magnisudis atlantica,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.07,Magnisudis atlantica
Sudis atrox,NA,NA,NA,Sudis atrox
Sudis hyalina,NA,NA,NA,Sudis hyalina
Cyttopsis rosea,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.01,Cyttopsis rosea
Peristedion gracile,NA,NA,NA,Peristedion gracile
Peristedion greyae,NA,NA,NA,Peristedion greyae
Peristedion imberbe,NA,NA,NA,Peristedion imberbe
Peristedion longispatha,NA,NA,NA,Peristedion longispatha
Peristedion miniatum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Peristedion miniatum
Peristedion thompsoni,NA,NA,NA,Peristedion thompsoni
Peristedion truncatum,NA,NA,NA,Peristedion truncatum
Ichthyococcus ovatus,NA,mainly animals (troph. 2.8 and up),3.4,Ichthyococcus ovatus
Pollichthys mauli,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.74,Pollichthys mauli
Polymetme corythaeola,NA,mainly animals (troph. 2.8 and up),4.4,Polymetme corythaeola
Polymetme thaeocoryla,NA,NA,NA,Polymetme thaeocoryla
Vinciguerria attenuata,selective plankton feeding,mainly animals (troph. 2.8 and up),3.05,Vinciguerria attenuata
Vinciguerria nimbaria,selective plankton feeding,mainly animals (troph. 2.8 and up),3.12,Vinciguerria nimbaria
Vinciguerria poweriae,selective plankton feeding,mainly animals (troph. 2.8 and up),3.09,Vinciguerria poweriae
Yarrella blackfordi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.5,Yarrella blackfordi
Polymixia lowei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.95,Polymixia lowei
Rondeletia bicolor,NA,NA,NA,Rondeletia bicolor
Scombrolabrax heterolepis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.95,Scombrolabrax heterolepis
Rosenblattichthys hubbsi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Rosenblattichthys hubbsi
Scopelarchoides danae,NA,NA,NA,Scopelarchoides danae
Scopelarchus analis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Scopelarchus analis
Scopelarchus guentheri,NA,NA,NA,Scopelarchus guentheri
Scopelarchus michaelsarsi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Scopelarchus michaelsarsi
Ectreposebastes imus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.1,Ectreposebastes imus
Setarches guentheri,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.45,Setarches guentheri
Stephanoberyx monae,NA,NA,NA,Stephanoberyx monae
Argyropelecus aculeatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.71,Argyropelecus aculeatus
Argyropelecus affinis,selective plankton feeding,mainly animals (troph. 2.8 and up),3.09,Argyropelecus affinis
Argyropelecus gigas,NA,NA,NA,Argyropelecus gigas
Argyropelecus hemigymnus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.06,Argyropelecus hemigymnus
Argyropelecus hemigymnus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.06,Argyropelecus hemigymnus
Argyropelecus sladeni,selective plankton feeding,mainly animals (troph. 2.8 and up),3.05,Argyropelecus sladeni
Maurolicus muelleri,selective plankton feeding,mainly animals (troph. 2.8 and up),3.25,Maurolicus muelleri
Maurolicus weitzmani,NA,NA,NA,Maurolicus weitzmani
Polyipnus asteroides,NA,NA,NA,Polyipnus asteroides
Polyipnus clarus,NA,NA,NA,Polyipnus clarus
Polyipnus laternatus,NA,NA,NA,Polyipnus laternatus
Sonoda megalophthalma,NA,NA,NA,Sonoda megalophthalma
Sternoptyx diaphana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.07,Sternoptyx diaphana
Sternoptyx pseudobscura,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.2,Sternoptyx pseudobscura
Valenciennellus tripunctulatus,variable,mainly animals (troph. 2.8 and up),3.11,Valenciennellus tripunctulatus
Astronesthes cyaneus,NA,NA,NA,Astronesthes cyaneus
Stylephorus chordatus,variable,mainly animals (troph. 2.8 and up),3,Stylephorus chordatus
Microphis brachyurus,NA,mainly animals (troph. 2.8 and up),3.3199999332427974,Oostethus brachyurus
Gephyroberyx darwinii,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.9400000572204594,Gephyroberyx darwinii
Hoplostethus mediterraneus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.49,Hoplostethus mediterraneus
Hoplostethus occidentalis,NA,mainly animals (troph. 2.8 and up),3.6,Hoplostethus occidentalis
Trachipterus arcticus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Trachipterus arcticus
Zu cristatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Zu cristatus
Hollardia hollardi,NA,NA,NA,Hollardia hollardi
Parahollardia lineata,NA,NA,NA,Parahollardia lineata
Xenocephalus egregius,NA,NA,NA,Xenocephalus egregius
Brevoortia gunteri,filtering plankton,mainly animals (troph. 2.8 and up),2.43,Brevoortia gunteri
Brevoortia patronus,filtering plankton,mainly plants/detritus (troph. 2-2.19),2.19,Brevoortia patronus
Brevoortia smithi,filtering plankton,mainly plants/detritus (troph. 2-2.19),2.32,Brevoortia smithi
Lagodon rhomboides,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.19,Lagodon rhomboides
Brama caribbea,NA,NA,NA,Brama caribbea
Brama dussumieri,NA,NA,NA,Brama dussumieri
Eumegistus brevorti,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Eumegistus brevorti
Pterycombus brama,NA,NA,NA,Pterycombus brama
Taractichthys longipinnis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Taractichthys longipinnis
Hyperoglyphe bythites,NA,NA,NA,Hyperoglyphe bythites
Hyperoglyphe perciformis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.93,Hyperoglyphe perciformis
Diapterus auratus,variable,plants/detritus+animals (troph. 2.2-2.79),2.99,Diapterus auratus
Eucinostomus argenteus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.32,Eucinostomus argenteus
Eucinostomus gula,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.13,Eucinostomus gula
Eucinostomus harengulus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.26,Eucinostomus harengulus
Eucinostomus jonesii,NA,NA,NA,Eucinostomus jonesii
Ulaema lefroyi,NA,NA,NA,Eucinostomus lefroyi
Eucinostomus melanopterus,variable,mainly animals (troph. 2.8 and up),3.39,Eucinostomus melanopterus
Eugerres brasilianus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.39,Eugerres brasilianus
Eugerres plumieri,other,mainly plants/detritus (troph. 2-2.19),3.29,Eugerres plumieri
Gerres cinereus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.2,Gerres cinereus
Oxyporhamphus micropterus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.13,Oxyporhamphus micropterus
Megalops atlanticus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.61,Megalops atlanticus
Scomberesox saurus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.69,Scomberesox saurus saurus
Argentina georgei,NA,NA,NA,Argentina georgei
Argentina striata,NA,NA,NA,Argentina striata
Glossanodon pygmaeus,NA,mainly animals (troph. 2.8 and up),3,Glossanodon pygmaeus
Membras martinica,NA,mainly animals (troph. 2.8 and up),NA,Membras martinica
Menidia beryllina,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Menidia beryllina
Menidia peninsulae,NA,NA,NA,Menidia peninsulae
Dolicholagus longirostris,filtering plankton,mainly animals (troph. 2.8 and up),3.4,Dolicholagus longirostris
Melanolagus bericoides,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Melanolagus bericoides
Alosa alabamae,variable,plants/detritus+animals (troph. 2.2-2.79),2.66,Alosa alabamae
Alosa chrysochloris,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.89,Alosa chrysochloris
Dorosoma petenense,selective plankton feeding,mainly animals (troph. 2.8 and up),2.82,Dorosoma petenense
Etrumeus sadina,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4000000953674316,Etrumeus teres
Harengula clupeola,selective plankton feeding,mainly animals (troph. 2.8 and up),3.52999997138977,Harengula clupeola
Harengula humeralis,variable,mainly animals (troph. 2.8 and up),3.4600000381469727,Harengula humeralis
Harengula jaguana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.4,Harengula jaguana
Jenkinsia lamprotaenia,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.62,Jenkinsia lamprotaenia
Opisthonema oglinum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.6,Opisthonema oglinum
Sardinella brasiliensis,selective plankton feeding,mainly animals (troph. 2.8 and up),3.1,Sardinella janeiro
Anchoa cayorum,NA,NA,NA,Anchoa cayorum
Anchoa cubana,NA,NA,NA,Anchoa cubana
Anchoa hepsetus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.25,Anchoa hepsetus
Anchoa lyolepis,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),3.4,Anchoa lyolepis
Anchoa mitchilli,variable,mainly animals (troph. 2.8 and up),3.46,Anchoa mitchilli
Anchoviella perfasciata,NA,NA,NA,Anchoviella perfasciata
Engraulis eurystole,NA,NA,NA,Engraulis eurystole
Cheilopogon cyanopterus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.25,Cheilopogon cyanopterus
Cheilopogon furcatus,variable,mainly animals (troph. 2.8 and up),3.96,Cheilopogon furcatus
Cheilopogon heterurus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Cheilopogon heterurus
Cheilopogon melanurus,NA,NA,NA,Cheilopogon melanurus
Cypselurus comatus,NA,NA,NA,Cypselurus comatus
Exocoetus obtusirostris,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Exocoetus obtusirostris
Exocoetus volitans,selective plankton feeding,mainly animals (troph. 2.8 and up),3.03,Exocoetus volitans
Hirundichthys affinis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.79,Hirundichthys affinis
Hirundichthys rondeletii,NA,NA,NA,Hirundichthys rondeletii
Parexocoetus brachypterus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.4,Parexocoetus brachypterus
Prognichthys occidentalis,NA,NA,NA,Prognichthys occidentalis
Cyclothone acclinidens,selective plankton feeding,mainly animals (troph. 2.8 and up),3.55,Cyclothone acclinidens
Cyclothone alba,NA,NA,NA,Cyclothone alba
Cyclothone braueri,selective plankton feeding,mainly animals (troph. 2.8 and up),3.08,Cyclothone braueri
Cyclothone microdon,selective plankton feeding,mainly animals (troph. 2.8 and up),3.04,Cyclothone microdon
Cyclothone obscura,NA,NA,NA,Cyclothone obscura
Cyclothone pallida,NA,mainly animals (troph. 2.8 and up),3.23,Cyclothone pallida
Cyclothone pseudopallida,NA,mainly animals (troph. 2.8 and up),3.13,Cyclothone pseudopallida
Diplophos taenia,selective plankton feeding,mainly animals (troph. 2.8 and up),3.2,Diplophos taenia
Gonostoma atlanticum,variable,mainly animals (troph. 2.8 and up),3.03,Gonostoma atlanticum
Sigmops elongatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.3,Gonostoma elongatum
Manducus maderensis,NA,mainly animals (troph. 2.8 and up),3.5,Manducus maderensis
Margrethia obtusirostra,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.5,Margrethia obtusirostra
Chriodorus atherinoides,NA,NA,NA,Chriodorus atherinoides
Euleptorhamphus velox,NA,NA,NA,Euleptorhamphus velox
Hemiramphus balao,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.71,Hemiramphus balao
Hemiramphus brasiliensis,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),2.8,Hemiramphus brasiliensis
Hyporhamphus meeki,variable,plants/detritus+animals (troph. 2.2-2.79),2.81,Hyporhamphus meeki
Hyporhamphus unifasciatus,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),2.990000009536743,Hyporhamphus unifasciatus
Oxyporhamphus micropterus,selective plankton feeding,mainly animals (troph. 2.8 and up),3.13,Oxyporhamphus micropterus
Merluccius albidus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.47,Merluccius albidus
Uncisudis advena,NA,NA,NA,Uncisudis advena
Uncisudis quadrimaculata,NA,NA,NA,Uncisudis quadrimaculata
Steindachneria argentea,NA,NA,NA,Steindachneria argentea
Carcharhinus limbatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.46,Carcharhinus limbatus
Heptranchias perlo,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.27,Heptranchias perlo
Hexanchus griseus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.42,Hexanchus griseus
Mitsukurina owstoni,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.14,Mitsukurina owstoni
Pristis pectinata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Pristis pectinata
Pristis perotteti,NA,NA,NA,Pristis perotteti
Pristis pristis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.97,Pristis pristis
Squatina heteroptera,NA,NA,NA,Squatina heteroptera
Squatina dumeril,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.7,Squatina dumeril
Alopias superciliosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.47,Alopias superciliosus
Alopias vulpinus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.37,Alopias vulpinus
Carcharhinus perezi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Carcharhinus perezii
Carcharhinus acronotus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Carcharhinus acronotus
Carcharhinus altimus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Carcharhinus altimus
Carcharhinus brevipinna,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Carcharhinus brevipinna
Carcharhinus falciformis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.4,Carcharhinus falciformis
Carcharhinus isodon,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.27,Carcharhinus isodon
Carcharhinus leucas,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.34,Carcharhinus leucas
Carcharhinus longimanus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.39,Carcharhinus longimanus
Carcharhinus obscurus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.42,Carcharhinus obscurus
Carcharhinus plumbeus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.23,Carcharhinus plumbeus
Carcharhinus porosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.36,Carcharhinus porosus
Carcharhinus signatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Carcharhinus signatus
Galeocerdo cuvier,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.42,Galeocerdo cuvier
Negaprion brevirostris,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.93,Negaprion brevirostris
Prionace glauca,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.37,Prionace glauca
Rhizoprionodon terraenovae,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Rhizoprionodon terraenovae
Ginglymostoma cirratum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.3,Ginglymostoma cirratum
Carcharodon carcharias,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.48,Carcharodon carcharias
Isurus oxyrinchus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.32,Isurus oxyrinchus
Isurus paucus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Isurus paucus
Carcharias taurus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.44,Carcharias taurus
Sphyrna lewini,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.210000038146973,Sphyrna lewini
Sphyrna mokarran,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.43,Sphyrna mokarran
Sphyrna tiburo,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),3.77,Sphyrna tiburo
Cetorhinus maximus,filtering plankton,mainly animals (troph. 2.8 and up),3.31,Cetorhinus maximus
Mobula birostris,filtering plankton,mainly animals (troph. 2.8 and up),3.4600000381469727,Manta birostris
Rhincodon typus,filtering plankton,mainly animals (troph. 2.8 and up),3.76,Rhincodon typus
Centrophorus granulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Centrophorus acus
Centrophorus granulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Centrophorus granulosus
Dalatias licha,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.3,Dalatias licha
Isistius brasiliensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.8,Isistius brasiliensis
Etmopterus bigelowi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.4,Etmopterus bigelowi
Etmopterus hillianus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Etmopterus hillianus
Etmopterus schultzi,NA,NA,NA,Etmopterus schultzi
Etmopterus virens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.2,Etmopterus virens
Zameus squamulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.97,Zameus squamulosus
Centrophorus uyato,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Squalus uyato
Cirrhigaleus asper,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Cirrhigaleus asper
Squalus cubensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Squalus cubensis
Squalus mitsukurii,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.35,Squalus mitsukurii
Springeria folirostris,NA,NA,NA,Anacanthobatis folirostris
Hydrolagus alberti,NA,NA,NA,Hydrolagus alberti
Hydrolagus mirabilis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.94,Hydrolagus mirabilis
Hypanus americanus,variable,mainly animals (troph. 2.8 and up),3.72,Dasyatis americana
Bathytoshia centroura,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.81,Dasyatis centroura
Hypanus guttatus,variable,plants/detritus+animals (troph. 2.2-2.79),NA,Dasyatis guttata
Hypanus sabinus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.450000047683716,Dasyatis sabina
Hypanus say,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Dasyatis say
Gymnura altavela,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.91,Gymnura altavela
Gymnura micrura,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.56,Gymnura micrura
Myliobatis freminvillei,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.27,Myliobatis freminvillei
Aetobatus narinari,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.32,Aetobatus narinari
Narcine brasiliensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.061,Narcine brasiliensis
Breviraja spinosa,NA,NA,NA,Breviraja spinosa
Dactylobatus armatus,NA,NA,NA,Dactylobatus armatus
Dipturus garricki,NA,NA,NA,Dipturus garricki
Dipturus olseni,NA,NA,NA,Dipturus olseni
Fenestraja sinusmexicanus,NA,NA,NA,Fenestraja sinusmexicanus
Leucoraja lentiginosa,NA,NA,NA,Leucoraja lentiginosa
Raja ackleyi,NA,NA,NA,Raja ackleyi
Raja eglanteria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.74,Raja eglanteria
Raja texana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.84,Raja texana
Rajella bigelowi,NA,NA,NA,Rajella bigelowi
Rajella purpuriventralis,NA,NA,NA,Rajella purpuriventralis
Pseudobatos lentiginosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.55,Rhinobatos lentiginosus
Rhinoptera bonasus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.49,Rhinoptera bonasus
Apristurus laurussonii,NA,NA,NA,Apristurus laurussonii
Apristurus parvipinnis,NA,NA,NA,Apristurus parvipinnis
Apristurus riveri,NA,NA,NA,Apristurus riveri
Galeus arae,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.6,Galeus arae
Scyliorhinus retifer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Scyliorhinus retifer
Tetronarce nobiliana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Torpedo nobiliana
Mustelus canis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.69,Mustelus canis
Mustelus norrisi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.87,Mustelus norrisi
Mustelus sinusmexicanus,NA,NA,NA,Mustelus sinusmexicanus
Urobatis jamaicensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.55,Urobatis jamaicensis
