prey,index
Gag grouper,1
Red grouper,1
Scamp,1
Shallow serranidae,1
Deep serranidae,1
Red snapper,1
Vermilion snapper,1
Lutjanidae,1
Bioeroding fish,1
Large reef fish,1
Small reef fish,1
Black drum,1
Red drum,1
Seatrout,1
Sciaenidae,1
Ladyfish,1
Mullets,1
Pompano,1
Sheepshead,1
Snook,1
Flatfish,1
Other demersal fish,1
Small demersal fish,1
Yellowfin tuna,1
Bluefin tuna,1
Little tunny,1
Other tuna,1
Swordfish,1
White marlin,1
Blue marlin,1
Other billfish,1
Greater amberjack,1
Jacks,1
King mackerel,1
Spanish mackerel,1
Spanish sardine,1
Large pelagic fish,1
Deep water fish,1
Menhaden,1
Pinfish,1
Medium pelagic fish,1
Small pelagic fish,1
Blacktip shark,1
Benthic feeding sharks,1
Large sharks,1
Filter feeding sharks,1
Small sharks,1
Skates and rays,1
Brown shrimp,1
White shrimp,1
Pink shrimp,1
Other shrimp,1
Diving birds,1
Surface feeding birds,1
Manatee,1
Mysticeti,1
Dolphins and porpoises,1
Deep diving odontocetae,1
Loggerhead,1
Kemps ridley,1
Other turtles,1
Blue crab,1
Stone crab,1
Crabs and lobsters,1
Stony corals,1
Crustose coralline algae,1
Octocorals,1
Sponges,1
Carnivorous macrobenthos,1
Infaunal meiobenthos,1
Herbivorous echinoderms,1
Oysters,1
Bivalves,1
Sessile filter feeders,1
Epiphytes,1
Sea grass,1
Macroalgae,1
Microphytobenthos,1
Large phytoplankton,1
Small phytoplankton,1
Toxic dinoflagellates,1
Protists,1
Jellyfish,1
Squid,1
Large zooplankton,1
Small zooplankton,1
Bacteria,1
Sediment bacteria,1
Carrion detritus,1
Labile detritus,1
Refractory detritus,1
Carrion detritus sediment,1
Labile detritus sediment,1
Refractory detritus sediment,1